#1
double tab1(12782,21)   # comment line
7500	6.756590909	10.94636364	6.736818182	2	4.574090909	5.264318182	2.431363636	5.541363636	3.1475	2.987045455	5.287045455	1.382727273	9.705681818	2.019522727	3.8	5.3	4.994318182	4.636840909	5.013931818	2.319045455
7800	6.750454545	10.94181818	6.739090909	2	4.575454545	5.264090909	2.431818182	5.541818182	3.145	2.987727273	5.287727273	1.383636364	9.705909091	2.018863636	3.8	5.3	4.994090909	4.637954545	5.014409091	2.321727273
8100	6.744318182	10.93727273	6.741363636	2	4.576818182	5.263863636	2.432272727	5.542272727	3.1425	2.988409091	5.288409091	1.384545455	9.706136364	2.018204545	3.8	5.3	4.993863636	4.639068182	5.014886364	2.324409091
8400	6.738181818	10.93272727	6.743636364	2	4.578181818	5.263636364	2.432727273	5.542727273	3.14	2.989090909	5.289090909	1.385454545	9.706363636	2.017545455	3.8	5.3	4.993636364	4.640181818	5.015363636	2.327090909
8700	6.732045455	10.92818182	6.745909091	2	4.579545455	5.263409091	2.433181818	5.543181818	3.1375	2.989772727	5.289772727	1.386363636	9.706590909	2.016886364	3.8	5.3	4.993409091	4.641295455	5.015840909	2.329772727
9000	6.725909091	10.92363636	6.748181818	2	4.580909091	5.263181818	2.433636364	5.543636364	3.135	2.990454545	5.290454545	1.387272727	9.706818182	2.016227273	3.8	5.3	4.993181818	4.642409091	5.016318182	2.332454545
9300	6.719772727	10.91909091	6.750454545	2	4.582272727	5.262954545	2.434090909	5.544090909	3.1325	2.991136364	5.291136364	1.388181818	9.707045455	2.015568182	3.8	5.3	4.992954545	4.643522727	5.016795455	2.335136364
9600	6.713636364	10.91454545	6.752727273	2	4.583636364	5.262727273	2.434545455	5.544545455	3.13	2.991818182	5.291818182	1.389090909	9.707272727	2.014909091	3.8	5.3	4.992727273	4.644636364	5.017272727	2.337818182
9900	6.7075	10.91	6.755	2	4.585	5.2625	2.435	5.545	3.1275	2.9925	5.2925	1.39	9.7075	2.01425	3.8	5.3	4.9925	4.64575	5.01775	2.3405
10200	6.701363636	10.90545455	6.757272727	2	4.586363636	5.262272727	2.435454545	5.545454545	3.125	2.993181818	5.293181818	1.390909091	9.707727273	2.013590909	3.8	5.3	4.992272727	4.646863636	5.018227273	2.343181818
10500	6.695227273	10.90090909	6.759545455	2	4.587727273	5.262045455	2.435909091	5.545909091	3.1225	2.993863636	5.293863636	1.391818182	9.707954545	2.012931818	3.8	5.3	4.992045455	4.647977273	5.018704545	2.345863636
10800	6.689090909	10.89636364	6.761818182	2	4.589090909	5.261818182	2.436363636	5.546363636	3.12	2.994545455	5.294545455	1.392727273	9.708181818	2.012272727	3.8	5.3	4.991818182	4.649090909	5.019181818	2.348545455
11100	6.682954545	10.89181818	6.764090909	2	4.590454545	5.261590909	2.436818182	5.546818182	3.1175	2.995227273	5.295227273	1.393636364	9.708409091	2.011613636	3.8	5.3	4.991590909	4.650204545	5.019659091	2.351227273
11400	6.676818182	10.88727273	6.766363636	2	4.591818182	5.261363636	2.437272727	5.547272727	3.115	2.995909091	5.295909091	1.394545455	9.708636364	2.010954545	3.8	5.3	4.991363636	4.651318182	5.020136364	2.353909091
11700	6.670681818	10.88272727	6.768636364	2	4.593181818	5.261136364	2.437727273	5.547727273	3.1125	2.996590909	5.296590909	1.395454545	9.708863636	2.010295455	3.8	5.3	4.991136364	4.652431818	5.020613636	2.356590909
12000	6.664545455	10.87818182	6.770909091	2	4.594545455	5.260909091	2.438181818	5.548181818	3.11	2.997272727	5.297272727	1.396363636	9.709090909	2.009636364	3.8	5.3	4.990909091	4.653545455	5.021090909	2.359272727
