Time,Rack1,Rack2,Rack3,Rack4,Rack5,Rack6,Rack7,Rack8,Rack9,Rack10,Rack11,Rack12,Rack13,Rack14,Rack15,Rack16,Rack17,Rack18,Rack19,Rack20
4800,10.7221062,8.928046141,6.206649418,3.197554963,5.198384328,5.605507812,8.561582615,13.07119929,16.02826595,14.74781598,6.012251073,14.90220575,16.76542904,15.39274282,16.1509957,16.03617365,17.22439624,19.50016688,17.25721888,20.78900839
5100,10.71244729,8.924352593,6.208749665,3.197554963,5.199938249,5.605265903,8.563185907,13.07227229,16.01562536,14.75118922,6.013027315,14.91206171,16.76582171,15.38773396,16.1509957,16.03617365,17.22361274,19.5048604,17.27013596,20.81330231
5400,10.70278838,8.920659044,6.210849912,3.197554963,5.20149217,5.605023994,8.5647892,13.07334528,16.00298477,14.75456247,6.013803557,14.92191766,16.76621438,15.3827251,16.1509957,16.03617365,17.22282924,19.50955393,17.28305304,20.83759623
5700,10.69312947,8.916965495,6.212950159,3.197554963,5.203046091,5.604782086,8.566392493,13.07441827,15.99034418,14.75793571,6.014579799,14.93177362,16.76660705,15.37771624,16.1509957,16.03617365,17.22204575,19.51424746,17.29597012,20.86189015
6000,10.68347056,8.913271946,6.215050406,3.197554963,5.204600012,5.604540177,8.567995785,13.07549127,15.9777036,14.76130895,6.01535604,14.94162958,16.76699972,15.37270738,16.1509957,16.03617365,17.22126225,19.51894098,17.3088872,20.88618408
6300,10.67381165,8.909578397,6.217150652,3.197554963,5.206153934,5.604298268,8.569599078,13.07656426,15.96506301,14.76468219,6.016132282,14.95148553,16.76739239,15.36769852,16.1509957,16.03617365,17.22047875,19.52363451,17.32180428,20.910478
6600,10.66415274,8.905884849,6.219250899,3.197554963,5.207707855,5.60405636,8.57120237,13.07763725,15.95242242,14.76805544,6.016908524,14.96134149,16.76778506,15.36268966,16.1509957,16.03617365,17.21969526,19.52832804,17.33472136,20.93477192
6900,10.65449383,8.9021913,6.221351146,3.197554963,5.209261776,5.603814451,8.572805663,13.07871024,15.93978183,14.77142868,6.017684765,14.97119745,16.76817773,15.3576808,16.1509957,16.03617365,17.21891176,19.53302157,17.34763844,20.95906584
7200,10.64483492,8.898497751,6.223451393,3.197554963,5.210815697,5.603572542,8.574408956,13.07978324,15.92714124,14.77480192,6.018461007,14.9810534,16.7685704,15.35267194,16.1509957,16.03617365,17.21812826,19.53771509,17.36055552,20.98335976
7500,10.63517601,8.894804202,6.22555164,3.197554963,5.212369618,5.603330634,8.576012248,13.08085623,15.91450065,14.77817516,6.019237249,14.99090936,16.76896307,15.34766309,16.1509957,16.03617365,17.21734477,19.54240862,17.3734726,21.00765368
7800,10.62551709,8.891110653,6.227651887,3.197554963,5.21392354,5.603088725,8.577615541,13.08192922,15.90186007,14.7815484,6.020013491,15.00076531,16.76935574,15.34265423,16.1509957,16.03617365,17.21656127,19.54710215,17.38638968,21.0319476
8100,10.61585818,8.887417105,6.229752133,3.197554963,5.215477461,5.602846816,8.579218834,13.08300222,15.88921948,14.78492165,6.020789732,15.01062127,16.7697484,15.33764537,16.1509957,16.03617365,17.21577777,19.55179567,17.39930676,21.05624152
8400,10.60619927,8.883723556,6.23185238,3.197554963,5.217031382,5.602604908,8.580822126,13.08407521,15.87657889,14.78829489,6.021565974,15.02047723,16.77014107,15.33263651,16.1509957,16.03617365,17.21499427,19.5564892,17.41222384,21.08053545
8700,10.59654036,8.880030007,6.233952627,3.197554963,5.218585303,5.602362999,8.582425419,13.0851482,15.8639383,14.79166813,6.022342216,15.03033318,16.77053374,15.32762765,16.1509957,16.03617365,17.21421078,19.56118273,17.42514092,21.10482937
9000,10.58688145,8.876336458,6.236052874,3.197554963,5.220139224,5.60212109,8.584028711,13.08622119,15.85129771,14.79504137,6.023118458,15.04018914,16.77092641,15.32261879,16.1509957,16.03617365,17.21342728,19.56587625,17.438058,21.12912329
9300,10.57722254,8.872642909,6.238153121,3.197554963,5.221693145,5.601879181,8.585632004,13.08729419,15.83865712,14.79841462,6.023894699,15.05004509,16.77131908,15.31760993,16.1509957,16.03617365,17.21264378,19.57056978,17.45097508,21.15341721
9600,10.56756363,8.868949361,6.240253368,3.197554963,5.223247067,5.601637273,8.587235297,13.08836718,15.82601654,14.80178786,6.024670941,15.05990105,16.77171175,15.31260107,16.1509957,16.03617365,17.21186029,19.57526331,17.46389216,21.17771113
9900,10.55790472,8.865255812,6.242353614,3.197554963,5.224800988,5.601395364,8.588838589,13.08944017,15.81337595,14.8051611,6.025447183,15.06975701,16.77210442,15.30759221,16.1509957,16.03617365,17.21107679,19.57995683,17.47680924,21.20200505
10200,10.54824581,8.861562263,6.244453861,3.197554963,5.226354909,5.601153455,8.590441882,13.09051317,15.80073536,14.80853434,6.026223425,15.07961296,16.77249709,15.30258335,16.1509957,16.03617365,17.21029329,19.58465036,17.48972632,21.22629897
10500,10.5385869,8.857868714,6.246554108,3.197554963,5.22790883,5.600911547,8.592045175,13.09158616,15.78809477,14.81190759,6.026999666,15.08946892,16.77288976,15.29757449,16.1509957,16.03617365,17.2095098,19.58934389,17.5026434,21.25059289
10800,10.52892799,8.854175166,6.248654355,3.197554963,5.229462751,5.600669638,8.593648467,13.09265915,15.77545418,14.81528083,6.027775908,15.09932488,16.77328243,15.29256563,16.1509957,16.03617365,17.2087263,19.59403741,17.51556048,21.27488681
11100,10.51926908,8.850481617,6.250754602,3.197554963,5.231016673,5.600427729,8.59525176,13.09373215,15.7628136,14.81865407,6.02855215,15.10918083,16.7736751,15.28755677,16.1509957,16.03617365,17.2079428,19.59873094,17.52847756,21.29918074
11400,10.50961017,8.846788068,6.252854849,3.197554963,5.232570594,5.600185821,8.596855052,13.09480514,15.75017301,14.82202731,6.029328392,15.11903679,16.77406777,15.28254791,16.1509957,16.03617365,17.20715931,19.60342447,17.54139464,21.32347466
11700,10.49995126,8.843094519,6.254955095,3.197554963,5.234124515,5.599943912,8.598458345,13.09587813,15.73753242,14.82540056,6.030104633,15.12889274,16.77446044,15.27753906,16.1509957,16.03617365,17.20637581,19.60811799,17.55431172,21.34776858
12000,10.49029235,8.83940097,6.257055342,3.197554963,5.235678436,5.599702003,8.600061638,13.09695112,15.72489183,14.8287738,6.030880875,15.1387487,16.77485311,15.2725302,16.1509957,16.03617365,17.20559231,19.61281152,17.5672288,21.3720625
12300,10.48063344,8.835707422,6.259155589,3.197554963,5.237232357,5.599460095,8.60166493,13.09802412,15.71225124,14.83214704,6.031657117,15.14860466,16.77524578,15.26752134,16.1509957,16.03617365,17.20480881,19.61750505,17.58014588,21.39635642
12600,10.47097453,8.832013873,6.261255836,3.197554963,5.238786278,5.599218186,8.603268223,13.09909711,15.69961065,14.83552028,6.032433359,15.15846061,16.77563845,15.26251248,16.1509957,16.03617365,17.20402532,19.62219857,17.59306296,21.42065034
12900,10.46131562,8.828320324,6.263356083,3.197554963,5.2403402,5.598976277,8.604871516,13.1001701,15.68697007,14.83889353,6.0332096,15.16831657,16.77603112,15.25750362,16.1509957,16.03617365,17.20324182,19.6268921,17.60598004,21.44494426
13200,10.4516567,8.824626775,6.265456329,3.197554963,5.241894121,5.598734369,8.606474808,13.1012431,15.67432948,14.84226677,6.033985842,15.17817253,16.77642379,15.25249476,16.1509957,16.03617365,17.20245832,19.63158563,17.61889712,21.46923818
13500,10.49297538,8.969150063,6.556220501,3.477341022,5.437447702,5.945424058,8.604585213,13.10166463,15.66981498,14.83343209,6.221023139,15.12590076,16.77611526,15.2515448,16.1509957,16.03833486,17.20368953,19.62985463,17.60874799,21.4139151
